date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:06:04	71913/71913	---M-Z	200	added ('OK')	text/html	etag:%22118e9-67fb0ef0-170804b60dc2fd46;gz%22	https://mavenfinance.com.pl/	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/index.html	(from )
18:06:05	807/807	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2016:06:07%20GMT	https://mavenfinance.com.pl/robots.txt		(from )
18:06:06	163884/163884	---M-Z	200	added ('OK')	text/css	etag:%222802c-67f9493f-1a10d9ead11a82e1;gz%22	https://mavenfinance.com.pl/css/bootstrap.min.css	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/css/bootstrap.min.css	(from https://mavenfinance.com.pl/)
18:06:07	604994/604994	---M-Z	200	added ('OK')	text/css	etag:%2293b42-67f9493f-8a9a2a9bba55aa28;gz%22	https://mavenfinance.com.pl/css/style.css	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/css/style.css	(from https://mavenfinance.com.pl/)
18:06:07	753/753	---M--	200	added ('OK')	image/png	etag:%222f1-67f9493f-2bf6cb4982547c6;;;%22	https://mavenfinance.com.pl/images/favicon.png	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/images/favicon.png	(from https://mavenfinance.com.pl/)
18:06:08	71913/71913	---M-Z	200	added ('OK')	text/html	etag:%22118e9-67fb0ef0-170804b60dc2fd46;gz%22	https://mavenfinance.com.pl/index.html	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/index-2.html	(from https://mavenfinance.com.pl/)
18:06:09	26038/26038	---M--	200	added ('OK')	image/png	etag:%2265b6-67f9493f-b416ac8683789fc3;;;%22	https://mavenfinance.com.pl/bb/logo.png	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/bb/logo.png	(from https://mavenfinance.com.pl/)
18:06:10	24249/24249	---M-Z	200	added ('OK')	text/html	etag:%225eb9-67f9493f-d3273ae8c34660dd;gz%22	https://mavenfinance.com.pl/about.html	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/about.html	(from https://mavenfinance.com.pl/)
18:06:11	26544/26544	---M-Z	200	added ('OK')	text/html	etag:%2267b0-67f9493f-9f4cf985897ede7f;gz%22	https://mavenfinance.com.pl/plans.html	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/plans.html	(from https://mavenfinance.com.pl/)
18:06:12	19052/19052	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20May%202025%2016:06:14%20GMT	https://mavenfinance.com.pl/contact	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/contact.html	(from https://mavenfinance.com.pl/)
18:06:13	79976/79976	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20May%202025%2016:06:15%20GMT	https://mavenfinance.com.pl/register	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/register.html	(from https://mavenfinance.com.pl/)
18:06:14	8493/8493	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20May%202025%2016:06:16%20GMT	https://mavenfinance.com.pl/login	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/login.html	(from https://mavenfinance.com.pl/)
18:06:15	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-67f9493f-483e5d9c638febb0;gz%22	https://mavenfinance.com.pl/index-2.html	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/index-3.html	(from https://mavenfinance.com.pl/)
18:06:16	1609/1609	---M--	200	added ('OK')	image/png	etag:%22649-67f9493f-34e55cbbf16899f5;;;%22	https://mavenfinance.com.pl/images/logo-2.png	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/images/logo-2.png	(from https://mavenfinance.com.pl/)
18:06:19	181195/181195	---M--	200	added ('OK')	image/jpeg	etag:%222c3cb-67f9493f-8501aa9e00f8f911;;;%22	https://mavenfinance.com.pl/bb/mtx001.jpg	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/bb/mtx001.jpg	(from https://mavenfinance.com.pl/)
18:06:19	2331/2331	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2016:06:21%20GMT	https://mavenfinance.com.pl/s3.tradingview.com/external-embedding/embed-widget-ticker-tape.js	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/s3.tradingview.com/external-embedding/embed-widget-ticker-tape.js	(from https://mavenfinance.com.pl/)
18:06:19	88940/88940	---M--	200	added ('OK')	image/jpeg	etag:%2215b6c-67f9493f-793eac80d93b2fce;;;%22	https://mavenfinance.com.pl/images/resource/about3-1.jpg	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/images/resource/about3-1.jpg	(from https://mavenfinance.com.pl/)
18:06:20	2331/2331	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2016:06:21%20GMT	https://mavenfinance.com.pl/files.coinmarketcap.com/static/widget/coinMarquee.js	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/files.coinmarketcap.com/static/widget/coinMarquee.js	(from https://mavenfinance.com.pl/)
18:06:21	2900/2900	---M-Z	200	added ('OK')	text/html	etag:%22b54-67f9493f-2d1c307b32af73ff;gz%22	https://mavenfinance.com.pl/page-service-details.html	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/page-service-details.html	(from https://mavenfinance.com.pl/)
18:06:22	28459/28459	---M--	200	added ('OK')	image/jpeg	etag:%226f2b-67f9493f-af6d7bb464030e69;;;%22	https://mavenfinance.com.pl/images/resource/about8-1.jpg	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/images/resource/about8-1.jpg	(from https://mavenfinance.com.pl/)
18:06:24	38065/38065	---M--	200	added ('OK')	image/jpeg	etag:%2294b1-67f9493f-27e47028ea6cb45a;;;%22	https://mavenfinance.com.pl/images/resource/about8-2.jpg	/data/data/com.termux/files/home/websites/mavenfinance.com.pl/mavenfinance.com.pl/images/resource/about8-2.jpg	(from https://mavenfinance.com.pl/)
